x,y,z,time_norm,energy_norm,frame_index,time_s
26.029754638671875,31.927230834960938,11.29867172241211,0.0,0.14271295070648193,0,0.0
37.02955627441406,26.830490112304688,5.985813140869141,0.003952569169957545,0.1675519496202469,1,0.005333333333333333
42.843658447265625,12.985122680664062,1.4304389953613281,0.00790513833991509,0.23598121106624603,2,0.010666666666666666
46.4381103515625,-2.174468994140625,-0.4137725830078125,0.011857707509872636,0.2767719030380249,3,0.016
47.49192810058594,-5.095123291015625,-0.06443023681640625,0.01581027667983018,0.2807081341743469,4,0.021333333333333333
43.12847900390625,-6.8372955322265625,1.4011993408203125,0.019762845849787727,0.31388700008392334,5,0.02666666666666667
36.20361328125,-8.758895874023438,3.1844139099121094,0.02371541501974527,0.2714498043060303,6,0.032
34.289764404296875,-10.083206176757812,3.1054916381835938,0.027667984189702816,0.28018829226493835,7,0.037333333333333336
38.17350769042969,-9.913848876953125,2.217876434326172,0.03162055335966036,0.2800523042678833,8,0.042666666666666665
42.08027648925781,-9.912506103515625,3.145496368408203,0.035573122529617904,0.268120139837265,9,0.048
42.31922912597656,-11.389495849609375,4.739467620849609,0.039525691699575455,0.2741430401802063,10,0.05333333333333334
40.20196533203125,-13.158782958984375,5.227733612060547,0.04347826086953299,0.30869635939598083,11,0.058666666666666666
37.8148193359375,-7.7527313232421875,3.7615699768066406,0.04743083003949054,0.33061110973358154,12,0.064
34.90269470214844,-0.7354736328125,1.7878303527832031,0.05138339920944808,0.3290920853614807,13,0.06933333333333333
30.847793579101562,2.4968719482421875,0.08126449584960938,0.05533596837940563,0.3302212655544281,14,0.07466666666666667
25.589187622070312,0.5498046875,-0.8329925537109375,0.059288537549363175,0.3266291916370392,15,0.08
20.1650390625,-6.5671234130859375,0.037631988525390625,0.06324110671932072,0.4342811405658722,16,0.08533333333333333
15.6058349609375,-13.200225830078125,2.078125,0.06719367588927827,0.45979392528533936,17,0.09066666666666667
11.89984130859375,-12.026596069335938,2.5510406494140625,0.07114624505923581,0.4421679675579071,18,0.096
8.926071166992188,-8.905288696289062,3.6562728881835938,0.07509881422919336,0.4024595320224762,19,0.10133333333333333
6.4062652587890625,-6.4276580810546875,5.101352691650391,0.07905138339915091,0.4248763620853424,20,0.10666666666666667
3.6703338623046875,-5.08251953125,5.040504455566406,0.08300395256910845,0.42669472098350525,21,0.112
0.98284912109375,-4.1184844970703125,4.4580230712890625,0.08695652173906598,0.423725962638855,22,0.11733333333333333
-1.75897216796875,-4.389739990234375,4.355640411376953,0.09090909090902353,0.4240182340145111,23,0.12266666666666666
-5.3142242431640625,-5.6491546630859375,4.602611541748047,0.09486166007898109,0.3214206397533417,24,0.128
-9.622695922851562,-6.279571533203125,4.319061279296875,0.09881422924893862,0.2902762293815613,25,0.13333333333333333
-13.1737060546875,-6.341094970703125,2.8319854736328125,0.10276679841889616,0.25599169731140137,26,0.13866666666666666
-15.500686645507812,-7.4444580078125,1.0562210083007812,0.10671936758885371,0.2366129755973816,27,0.144
-17.592391967773438,-9.396713256835938,0.21555709838867188,0.11067193675881126,0.16564741730690002,28,0.14933333333333335
-19.61053466796875,-10.433517456054688,0.34000396728515625,0.11462450592876881,0.11964908987283707,29,0.15466666666666667
-21.150436401367188,-9.291458129882812,-0.5978202819824219,0.11857707509872635,0.2035159319639206,30,0.16
-21.667312622070312,-4.870819091796875,-2.0046157836914062,0.12252964426868389,0.20251619815826416,31,0.16533333333333333
-21.311416625976562,-0.2314300537109375,-1.9519424438476562,0.12648221343864144,0.18839925527572632,32,0.17066666666666666
-18.92071533203125,1.7517547607421875,-2.928497314453125,0.13043478260859898,0.19093765318393707,33,0.176
-16.046401977539062,0.6613922119140625,-4.976627349853516,0.13438735177855654,0.22582481801509857,34,0.18133333333333335
-15.398971557617188,-1.3189239501953125,-6.120887756347656,0.13833992094851408,0.23789358139038086,35,0.18666666666666668
-17.595230102539062,-2.4055023193359375,-5.169090270996094,0.14229249011847162,0.25428280234336853,36,0.192
-21.239227294921875,-3.7033538818359375,-4.343719482421875,0.14624505928842915,0.2310555875301361,37,0.19733333333333333
-23.68878173828125,-5.3739471435546875,-4.588466644287109,0.15019762845838672,0.1492696851491928,38,0.20266666666666666
-25.305908203125,-6.166900634765625,-2.894367218017578,0.15415019762834425,0.1395391821861267,39,0.208
-27.086456298828125,-6.0729522705078125,-0.9333343505859375,0.15810276679830182,0.16545969247817993,40,0.21333333333333335
-30.148757934570312,-4.14520263671875,-0.6452178955078125,0.16205533596825936,0.22849787771701813,41,0.21866666666666668
-33.306732177734375,-1.6803131103515625,0.6228370666503906,0.1660079051382169,0.20279961824417114,42,0.224
-33.43006896972656,1.6699066162109375,4.375804901123047,0.16996047430817443,0.18727236986160278,43,0.22933333333333333
-32.35319519042969,3.9399566650390625,7.723121643066406,0.17391304347813197,0.19312265515327454,44,0.23466666666666666
-32.04939270019531,4.6159515380859375,7.886344909667969,0.1778656126480895,0.2209324836730957,45,0.24
-33.61579895019531,4.9244384765625,5.767894744873047,0.18181818181804707,0.22669218480587006,46,0.24533333333333332
-36.83100891113281,3.892791748046875,4.166591644287109,0.1857707509880046,0.22668130695819855,47,0.25066666666666665
-40.55767822265625,2.4463958740234375,4.553623199462891,0.18972332015796217,0.2230571210384369,48,0.256
-43.734405517578125,1.791717529296875,5.9509124755859375,0.19367588932791968,0.1601821333169937,49,0.2613333333333333
-45.667022705078125,0.8550262451171875,5.426849365234375,0.19762845849787725,0.15247468650341034,50,0.26666666666666666
-46.94488525390625,1.040618896484375,4.294380187988281,0.2015810276678348,0.18219776451587677,51,0.272
-48.68792724609375,2.864776611328125,4.5626983642578125,0.20553359683779232,0.227084681391716,52,0.2773333333333333
-50.249298095703125,4.1746826171875,5.853355407714844,0.20948616600774989,0.2078811526298523,53,0.2826666666666667
-50.49176025390625,4.22564697265625,6.083179473876953,0.21343873517770742,0.20051321387290955,54,0.288
-50.07598876953125,4.12860107421875,5.210884094238281,0.21739130434766496,0.19635401666164398,55,0.29333333333333333
-49.502716064453125,3.8595123291015625,4.608554840087891,0.22134387351762252,0.2082940638065338,56,0.2986666666666667
-47.313995361328125,3.949188232421875,3.565887451171875,0.22529644268758006,0.2478407621383667,57,0.304
-44.039459228515625,4.702392578125,2.680347442626953,0.22924901185753763,0.3350304365158081,58,0.30933333333333335
-40.27984619140625,6.5446624755859375,1.1698379516601562,0.23320158102749514,0.32007187604904175,59,0.31466666666666665
-37.23786926269531,7.6560821533203125,-0.7036323547363281,0.2371541501974527,0.29465749859809875,60,0.32
-35.69969177246094,5.8077239990234375,-2.885711669921875,0.2411067193674102,0.2938399314880371,61,0.3253333333333333
-35.90299987792969,2.152801513671875,-4.223392486572266,0.24505928853736778,0.2935652434825897,62,0.33066666666666666
-36.41618347167969,-1.06622314453125,-5.411720275878906,0.24901185770732534,0.2942908704280853,63,0.336
-34.63517761230469,-1.761322021484375,-8.626266479492188,0.2529644268772829,0.27202358841896057,64,0.3413333333333333
-31.729095458984375,-0.1806793212890625,-11.98159408569336,0.25691699604724044,0.24432528018951416,65,0.3466666666666667
-26.746673583984375,-1.0527191162109375,-13.858631134033203,0.26086956521719795,0.1534801870584488,66,0.352
-22.921066284179688,-3.37371826171875,-12.755970001220703,0.2648221343871555,0.14612722396850586,67,0.35733333333333334
-21.85882568359375,-5.2869873046875,-8.40469741821289,0.2687747035571131,0.15730802714824677,68,0.3626666666666667
-21.231246948242188,-6.987762451171875,-0.7964668273925781,0.2727272727270706,0.1660144180059433,69,0.368
-20.857757568359375,-9.087326049804688,5.66387939453125,0.27667984189702816,0.23747307062149048,70,0.37333333333333335
-21.543304443359375,-9.654205322265625,6.985713958740234,0.28063241106698567,0.251516193151474,71,0.37866666666666665
-25.6185302734375,-7.7242431640625,4.749889373779297,0.28458498023694323,0.28074169158935547,72,0.384
-32.4365234375,-4.6085052490234375,1.14837646484375,0.28853754940690074,0.2612372040748596,73,0.3893333333333333
-36.935943603515625,-2.4938812255859375,-0.8622856140136719,0.2924901185768583,0.2411697506904602,74,0.39466666666666667
-38.52752685546875,-1.5087890625,0.6038665771484375,0.29644268774681587,0.24431626498699188,75,0.4
-40.754058837890625,-1.1994476318359375,2.06585693359375,0.30039525691677343,0.20169992744922638,76,0.4053333333333333
-43.347869873046875,-1.4142608642578125,2.240509033203125,0.30434782608673094,0.18377690017223358,77,0.4106666666666667
-45.67474365234375,-2.128326416015625,2.9587860107421875,0.3083003952566885,0.13099318742752075,78,0.416
-48.6563720703125,-3.2605133056640625,5.0988922119140625,0.3122529644266461,0.17949610948562622,79,0.42133333333333334
-52.032073974609375,-3.94805908203125,7.038570404052734,0.31620553359660364,0.2043052762746811,80,0.4266666666666667
-54.167724609375,-3.053192138671875,7.030555725097656,0.32015810276656115,0.3493978977203369,81,0.432
-54.43719482421875,-0.1689605712890625,6.10888671875,0.3241106719365187,0.457310289144516,82,0.43733333333333335
-53.069732666015625,3.620880126953125,6.445381164550781,0.3280632411064762,0.49215540289878845,83,0.44266666666666665
-51.4595947265625,5.2134552001953125,8.330135345458984,0.3320158102764338,0.49345093965530396,84,0.448
-50.699066162109375,4.477691650390625,10.152679443359375,0.3359683794463913,0.5052542686462402,85,0.4533333333333333
-50.016998291015625,2.370452880859375,10.129337310791016,0.33992094861634886,0.4964444637298584,86,0.45866666666666667
-47.9085693359375,-0.4679107666015625,8.062541961669922,0.3438735177863064,0.4661150872707367,87,0.464
-46.732391357421875,-1.5625457763671875,5.892093658447266,0.34782608695626394,0.4361257255077362,88,0.4693333333333333
-48.519195556640625,-1.49151611328125,4.467308044433594,0.3517786561262215,0.3249664902687073,89,0.4746666666666667
-52.087554931640625,-1.3099822998046875,3.6631431579589844,0.355731225296179,0.17055946588516235,90,0.48
-54.28472900390625,-1.1270904541015625,3.3149566650390625,0.3596837944661366,0.1061621904373169,91,0.48533333333333334
-53.214630126953125,-1.4225311279296875,2.972087860107422,0.36363636363609414,0.11711996048688889,92,0.49066666666666664
-51.074615478515625,-1.7525177001953125,4.212711334228516,0.3675889328060517,0.0834885984659195,93,0.496
-48.418182373046875,-2.1760406494140625,5.359928131103516,0.3715415019760092,0.06839312613010406,94,0.5013333333333333
-45.319915771484375,-2.147857666015625,4.797721862792969,0.3754940711459668,0.22383145987987518,95,0.5066666666666667
-42.55712890625,-1.513641357421875,3.8577842712402344,0.37944664031592434,0.22496964037418365,96,0.512
-40.14752197265625,-0.734893798828125,3.4033126831054688,0.38339920948588185,0.219910129904747,97,0.5173333333333333
-37.33039855957031,-1.127227783203125,1.8243675231933594,0.38735177865583936,0.23223622143268585,98,0.5226666666666666
-32.95805358886719,-1.3045806884765625,-1.9438705444335938,0.391304347825797,0.23677334189414978,99,0.528
-28.091476440429688,0.5718536376953125,-7.298381805419922,0.3952569169957545,0.2756912410259247,100,0.5333333333333333
-25.281265258789062,2.8458251953125,-10.941761016845703,0.399209486165712,0.3958491384983063,101,0.5386666666666666
-17.933639526367188,8.172760009765625,-6.771858215332031,0.4031620553356696,0.4414386749267578,102,0.544
4.0212554931640625,12.206008911132812,7.5334320068359375,0.40711462450562713,0.38331112265586853,103,0.5493333333333333
23.908355712890625,14.164993286132812,17.627593994140625,0.41106719367558464,0.4286983013153076,104,0.5546666666666666
38.30152893066406,15.756622314453125,20.36052703857422,0.41501976284554226,0.5203515887260437,105,0.56
48.88294982910156,15.175727844238281,17.477859497070312,0.41897233201549977,0.5869252681732178,106,0.5653333333333334
55.84765625,13.431777954101562,15.30398941040039,0.4229249011854573,0.6086727380752563,107,0.5706666666666667
59.66929626464844,12.967475891113281,17.01239013671875,0.42687747035541485,0.7127721309661865,108,0.576
61.772125244140625,15.079086303710938,19.01168441772461,0.4308300395253724,0.6948816776275635,109,0.5813333333333334
64.0411376953125,17.69256591796875,19.276222229003906,0.4347826086953299,0.6658167243003845,110,0.5866666666666667
64.69320678710938,16.020584106445312,18.08475112915039,0.4387351778652875,0.6994437575340271,111,0.592
62.65596008300781,12.002571105957031,17.46627426147461,0.44268774703524505,0.7332876324653625,112,0.5973333333333334
57.94566345214844,7.8609771728515625,18.503459930419922,0.4466403162052026,0.6841647624969482,113,0.6026666666666667
52.65278625488281,2.4554443359375,19.54796600341797,0.4505928853751601,0.656479001045227,114,0.608
50.23204040527344,-2.71282958984375,21.474822998046875,0.45454545454511763,0.6476328372955322,115,0.6133333333333333
48.870513916015625,-5.4072723388671875,24.4295654296875,0.45849802371507525,0.5135490894317627,116,0.6186666666666667
46.36717224121094,-5.2984619140625,25.451169967651367,0.46245059288503276,0.45282092690467834,117,0.624
42.85490417480469,-4.8313140869140625,25.29844093322754,0.4664031620549903,0.47856494784355164,118,0.6293333333333333
